user_id,lang,translated + reviewed,translated,review-approved,review-rejected,Foundation member validation note
eblock,de,772,772,0,0,
eumel8,de,35849,32261,3588,0,
jaegerandi,de,734,734,0,0,
rsimai,de,32125,32120,5,0,
jpichon,en-GB,669,669,0,0,
albertomolina,es,500,500,0,0,Not a Foundation member
ccamacho,es,1353,1353,0,0,
corin,fr,3411,3216,195,0,
jftalta,fr,1952,1944,8,0,
liced,fr,317,317,0,0,
oussemos,fr,472,472,0,0,
suhartono,id,69223,69223,0,0,
amotoki,ja,4907,4676,231,0,
fifieldt,ja,319,319,0,0,
hidekazuna,ja,15079,15079,0,0,
shintaro,ja,763,763,0,0,
shu,ja,11994,11994,0,0,
to222,ja,45901,45901,0,0,
yfukuda,ja,3216,3216,0,0,Not a Foundation member
ykatabam,ja,2205,1045,1160,0,
yosshy,ja,3065,3065,0,0,Not a Foundation member
yukinori_yagisawa,ja,412,412,0,0,
yusuke1219,ja,357,357,0,0,
betorvalds,ko-KR,330,330,0,0,
ianychoi,ko-KR,11820,9836,1984,0,
jsshin,ko-KR,689,689,0,0,
koain,ko-KR,762,762,0,0,
nexusz99,ko-KR,708,708,0,0,
ujuc,ko-KR,4591,4577,14,0,
vi01et,ko-KR,874,874,0,0,
wonil22,ko-KR,434,434,0,0,
fcpimenta,pt-BR,10095,10092,3,0,
marcio,pt-BR,618,618,0,0,Not a Foundation member
adiantum,ru,1408,1077,331,0,
amikhalev,ru,1261,1261,0,0,
ftarasenko,ru,344,295,49,0,
thomas_vysokos,ru,6865,6865,0,0,
isbaran,tr-TR,1678,1678,0,0,
blkart,zh-CN,502,502,0,0,
h3c_wuhan,zh-CN,514,514,0,0,
liujunpeng,zh-CN,869,869,0,0,
sunanchen,zh-CN,624,624,0,0,
tfu,zh-CN,5206,5206,0,0,
tigerfang,zh-CN,3849,3849,0,0,
vuuv,zh-CN,4546,4546,0,0,
xhkjoe,zh-CN,1341,1341,0,0,
xiangbinbin,zh-CN,1711,1711,0,0,
zhugaoxiao,zh-CN,381,381,0,0,
zzxwill,zh-CN,309,309,0,0,
fifieldt,zh-TW,1141,1141,0,0,
igene,zh-TW,4287,4287,0,0,
